source,target,weight,global_score
648,555,8876,8876
648,708,8838,8838
259,730,8601,8601
733,571,8269,8269
647,571,7566,7566
730,700,6956,6956
730,663,6626,6626
663,725,5999,5999
199,733,5873,5873
571,725,5594,5594
702,597,5512,5512
529,697,5488,5488
700,725,5487,5487
730,554,5468,5468
648,514,5410,5410
259,647,5294,5294
529,981,5258,5258
259,702,5200,5200
591,132,4997,4997
259,554,4868,4868
259,718,4854,4854
554,725,4784,4784
700,736,4778,4778
128,648,4687,4687
128,733,4666,4666
506,737,4660,4660
647,718,4553,4553
554,736,4506,4506
259,574,4465,4465
730,673,4457,4457
648,552,4425,4425
259,682,4389,4389
648,674,4381,4381
259,725,4298,4298
259,579,4295,4295
648,688,4276,4276
128,575,4232,4232
700,697,4195,4195
575,720,4081,4081
1265,1260,3979,3979
648,733,3959,3959
702,718,3928,3928
702,571,3906,3906
645,758,3879,3879
259,132,3871,3871
259,128,3828,3828
128,627,3762,3762
733,708,3743,3743
280,648,3664,3664
730,571,3664,3664
554,697,3645,3645
700,726,3637,3637
733,552,3590,3590
529,548,3575,3575
506,723,3563,3563
571,697,3421,3421
691,1417,3410,3410
575,514,3393,3393
259,510,3345,3345
199,591,3341,3341
128,647,3340,3340
733,674,3329,3329
529,806,3303,3303
673,725,3296,3296
645,648,3288,3288
806,575,3283,3283
128,663,3257,3257
661,741,3255,3255
806,673,3240,3240
571,689,3192,3192
157,730,3191,3191
571,510,3186,3186
506,697,3178,3178
663,723,3164,3164
651,2194,3162,3162
574,128,3150,3150
691,858,3146,3146
733,739,3115,3115
981,579,3092,3092
259,965,3064,3064
625,702,3011,3011
806,579,3005,3005
554,737,2967,2967
597,674,2953,2953
579,725,2943,2943
506,858,2942,2942
157,683,2938,2938
730,597,2933,2933
1733,1706,2914,2914
579,965,2897,2897
645,893,2873,2873
199,1573,2865,2865
682,683,2860,2860
730,806,2847,2847
648,765,2826,2826
651,2191,2822,2822
128,673,2802,2802
1659,199,2796,2796
199,574,2796,2796
157,702,2787,2787
691,1542,2769,2769
702,673,2758,2758
128,597,2747,2747
806,733,2746,2746
204,691,2715,2715
506,488,2695,2695
204,733,2678,2678
591,736,2659,2659
725,683,2657,2657
199,730,2654,2654
682,597,2645,2645
571,736,2642,2642
506,2190,2637,2637
199,648,2625,2625
806,1573,2618,2618
128,571,2616,2616
204,648,2609,2609
647,648,2605,2605
199,132,2598,2598
157,725,2587,2587
875,885,2574,2574
806,682,2572,2572
733,1734,2569,2569
674,741,2569,2569
682,741,2567,2567
648,695,2565,2565
691,651,2548,2548
571,724,2532,2532
506,498,2532,2532
199,579,2528,2528
575,1202,2524,2524
571,578,2523,2523
204,645,2519,2519
691,722,2514,2514
280,591,2508,2508
806,627,2503,2503
806,965,2497,2497
199,529,2495,2495
691,1264,2495,2495
128,554,2485,2485
691,2190,2470,2470
651,689,2469,2469
736,718,2462,2462
575,612,2458,2458
204,591,2455,2455
806,700,2453,2453
280,730,2438,2438
691,765,2435,2435
682,981,2433,2433
575,1187,2412,2412
651,653,2407,2407
280,625,2402,2402
575,765,2387,2387
648,1323,2376,2376
733,726,2371,2371
259,1734,2370,2370
647,520,2344,2344
506,536,2343,2343
736,527,2333,2333
552,741,2330,2330
575,692,2325,2325
647,514,2322,2322
529,2183,2314,2314
625,965,2306,2306
280,627,2300,2300
574,724,2300,2300
741,498,2292,2292
651,578,2291,2291
730,674,2286,2286
506,586,2286,2286
225,765,2279,2279
157,893,2272,2272
529,735,2271,2271
674,683,2270,2270
904,885,2269,2269
702,537,2264,2264
157,204,2260,2260
574,2191,2252,2252
893,733,2247,2247
1518,1548,2240,2240
591,726,2224,2224
132,627,2221,2221
591,984,2210,2210
648,741,2207,2207
199,1542,2203,2203
292,904,2202,2202
259,150,2201,2201
648,602,2201,2201
733,1808,2195,2195
193,591,2194,2194
591,661,2189,2189
